time,value
m 53,4.04E+04
m 54,4.12E+04
m 55,4.04E+04
m 56,3.54E+04
m 57,3.52E+04
m 58,3.52E+04
m 59,3.27E+04
m  0,3.67E+04
Sat,3.99E+04
Jul,4.05E+04
3,3.94E+04
2004,3.65E+04
d185,3.77E+04
JD 2,3.72E+04
4531,3.75E+04
89.5,3.82E+04
68,3.52E+04
h  8,3.44E+04
m 11,3.72E+04
m 12,3.85E+04
m 13,3.36E+04
m 14,3.39E+04
m 15,3.77E+04
m 16,3.55E+04
m 17,3.43E+04
m 18,3.70E+04
m 19,3.53E+04
m 20,3.06E+04
Sat,3.16E+04
Jul,3.38E+04
3,3.75E+04
2004,3.93E+04
d185,3.70E+04
JD 2,4.31E+04
4531,4.03E+04
89.5,3.77E+04
68,3.92E+04
h  8,3.44E+04
m 31,3.48E+04
m 32,3.68E+04
m 33,3.75E+04
m 34,3.79E+04
m 35,3.60E+04
m 36,3.52E+04
m 37,3.62E+04
m 38,3.98E+04
m 39,4.42E+04
m 40,4.12E+04
Sat,4.12E+04
Jul,3.72E+04
3,3.55E+04
2004,3.65E+04
d185,3.70E+04
JD 2,3.78E+04
4531,3.77E+04
89.5,3.62E+04
68,3.85E+04
h  8,3.96E+04
m 51,3.35E+04
m 52,3.85E+04
m 53,3.67E+04
m 54,3.12E+04
m 55,2.76E+04
m 56,2.90E+04
m 57,3.81E+04
m 58,4.04E+04
m 59,3.83E+04
m  0,4.37E+04
Sat,4.32E+04
Jul,3.70E+04
3,4.03E+04
2004,3.98E+04
d185,4.13E+04
JD 2,4.13E+04
4531,3.33E+04
89.5,3.13E+04
68,3.38E+04
h  9,3.56E+04
m 11,3.34E+04
m 12,3.22E+04
m 13,3.60E+04
m 14,3.74E+04
m 15,3.40E+04
m 16,3.30E+04
m 17,3.06E+04
m 18,3.14E+04
m 19,4.04E+04
m 20,3.77E+04
